compound_name,num_experiments,num_species,num_taxa,num_pmids,median_effect,trimmed_mean_effect,sign_consistency,leave_one_species_out_stability,leave_one_taxon_out_stability,aggregation_stability,breadth_score,robustness_score,avg_significance_summary,max_significance_summary,taxa_present,species_present,pmids,evidence_tier,robust_flag,thin_evidence_reason,rank,empirical_p_value,null_exceedance_rate,null_z_score
Capecitabine,2,1,1,1,8.26,8.26,1.0,0.0,0.0,1.0,0.3055555555555555,0.4652044444444445,NS:1;S:1,blank:2,rotifer,Brachionus manjavacas,29340835,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,351,0.7782217782217782,0.778,0.17303027923032896
2-Selenium-bridged-beta-cyclodextrin,2,1,1,1,7.965,7.965,1.0,0.0,0.0,1.0,0.3055555555555555,0.4649094444444445,S:2,blank:2,nematode,Caenorhabditis elegans,101039,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,352,0.5214785214785215,0.521,0.5811429382505124
Kenpaullone,1,1,1,1,27.0,27.0,1.0,0.0,0.0,1.0,0.25,0.4645,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,353,0.13886113886113885,0.138,0.6454180480841889
LFM-A13,1,1,1,1,27.0,27.0,1.0,0.0,0.0,1.0,0.25,0.4645,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,354,0.12187812187812187,0.121,0.6698441899437755
PD-98059,1,1,1,1,27.0,27.0,1.0,0.0,0.0,1.0,0.25,0.4645,S:1,blank:1,insect,Drosophila melanogaster,22363408,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,355,0.057942057942057944,0.057,0.8876168282536525
Trequinsin hydrochloride,1,1,1,1,27.0,27.0,1.0,0.0,0.0,1.0,0.25,0.4645,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,356,0.13986013986013987,0.139,0.6056726417077039
Acetazolamide,2,1,1,1,7.5,7.5,1.0,0.0,0.0,1.0,0.3055555555555555,0.4644444444444445,blank:2,blank:2,insect,Drosophila melanogaster,6792427,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,357,0.28771228771228774,0.287,0.9083835935331083
Xanthohumol,2,1,1,1,7.285,7.285,1.0,0.0,0.0,1.0,0.3055555555555555,0.4642294444444445,NS:1;S:1,blank:2,insect,Drosophila melanogaster,33549830,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,358,0.2897102897102897,0.289,0.9323467038689729
Geri-BP002A,2,1,1,1,7.275,7.275,1.0,0.0,0.0,1.0,0.3055555555555555,0.46421944444444446,S:2,blank:2,nematode,Caenorhabditis elegans,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,359,0.4855144855144855,0.485,0.6312180687542246
Paxilline,1,1,1,1,26.62,26.62,1.0,0.0,0.0,1.0,0.25,0.46412,S:1,blank:1,nematode,Caenorhabditis elegans,30613772,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,360,0.13786213786213786,0.137,0.5751058088417336
Platycladus orientalis extract,1,1,1,1,26.5,26.5,1.0,0.0,0.0,1.0,0.25,0.464,S:1,blank:1,nematode,Caenorhabditis elegans,23523941,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,361,0.13086913086913088,0.13,0.609944685347186
Tetrahydrocurcumin,2,1,1,1,7.0,7.0,1.0,0.0,0.0,1.0,0.3055555555555555,0.4639444444444445,NS:1;S:1,NS:1;S:1,mammal,Mus musculus,17516143,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,362,0.21578421578421578,0.215,0.9376000856831069
D-beta-hydroxybutyrate,1,1,1,1,26.0,26.0,1.0,0.0,0.0,1.0,0.25,0.4635,S:1,blank:1,nematode,Caenorhabditis elegans,25127866,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,363,0.12087912087912088,0.12,0.6256755688780273
